intermittency_class,n_rows,mean_actual,mae,rmse,wape,smape,bias
erratic,112,2.6517857142857144,0.042611259156020244,0.1078147651226564,0.016068892341664198,0.20714642972718678,-0.005611613033028494
intermittent,8540,0.8039812646370024,0.0074773637767686155,0.02547719713457555,0.009300420427265362,0.9991843640729139,-0.00116374255781288
lumpy,56,1.375,0.01846884330738368,0.04041423021232155,0.013431886041733584,0.6151955482847077,0.008785038765361325
smooth,5268,2.8659832953682614,0.042813198709275246,0.14143118860662096,0.014938397854051001,0.26353897846610314,-0.0007190265391099008
