service_level_target,z_score,policy,total_holding_cost,total_stockout_cost,total_cost,mean_service_level,total_stockout_units,mean_avg_inventory,sku_count
85%,1.036,ML_85%,2032.01448630137,7086.681,9118.69548630137,0.9746157316382513,548.0,13.794274725274725,1000
90%,1.282,ML_90%,2035.0557671232878,6826.428,8861.483767123287,0.9762499542996478,528.0,13.812208791208791,1000
95%,1.645,ML_95%,2044.4707602739727,6306.867,8351.337760273973,0.9776558283162179,487.0,13.886478021978022,1000
97.5%,1.96,ML_97.5%,2046.7551643835616,6016.086,8062.841164383562,0.9790144103896836,462.0,13.902225274725275,1000
99%,2.326,ML_99%,2050.4086917808218,5903.937,7954.345691780822,0.9795261347764079,453.0,13.926554945054944,1000
